WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (106.7606159 -6.5983397)",3201.0,32.0,KABUPATEN BOGOR,KABUPATEN BOGOR,-6.5983397,106.7606159
"POINT (106.864789 -6.9548878)",3202.0,32.0,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI,-6.9548878,106.864789
"POINT (107.1462315 -6.8065925)",3203.0,32.0,KABUPATEN CIANJUR,KABUPATEN CIANJUR,-6.8065925,107.1462315
"POINT (107.6604247 -6.9200723)",3204.0,32.0,KABUPATEN BANDUNG,KABUPATEN BANDUNG,-6.9200723,107.6604247
"POINT (107.9022808 -7.2106706)",3205.0,32.0,KABUPATEN GARUT,KABUPATEN GARUT,-7.2106706,107.9022808
"POINT (108.1999355 -7.3379441)",3206.0,32.0,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,-7.3379441,108.1999355
"POINT (108.3294661 -7.323514)",3207.0,32.0,KABUPATEN CIAMIS,KABUPATEN CIAMIS,-7.323514,108.3294661
"POINT (108.4902618 -6.9829611)",3208.0,32.0,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,-6.9829611,108.4902618
"POINT (108.5453826 -6.7290823)",3209.0,32.0,KABUPATEN CIREBON,KABUPATEN CIREBON,-6.7290823,108.5453826
"POINT (108.2283984 -6.8316695)",3210.0,32.0,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,-6.8316695,108.2283984
"POINT (107.9222184 -6.8343966)",3211.0,32.0,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,-6.8343966,107.9222184
"POINT (108.3252849 -6.3435479)",3212.0,32.0,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU,-6.3435479,108.3252849
"POINT (107.7581181 -6.5567658)",3213.0,32.0,KABUPATEN SUBANG,KABUPATEN SUBANG,-6.5567658,107.7581181
"POINT (107.4493132 -6.5383076)",3214.0,32.0,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,-6.5383076,107.4493132
"POINT (107.2958203 -6.2980669)",3215.0,32.0,KABUPATEN KARAWANG,KABUPATEN KARAWANG,-6.2980669,107.2958203
"POINT (107.1598288 -6.3545065)",3216.0,32.0,KABUPATEN BEKASI,KABUPATEN BEKASI,-6.3545065,107.1598288
"POINT (107.3744967 -6.9146254)",3217.0,32.0,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT,-6.9146254,107.3744967
"POINT (108.6451765 -7.6775077)",3218.0,32.0,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,-7.6775077,108.6451765
"POINT (106.8274651 -6.6025841)",3271.0,32.0,KOTA BOGOR,KOTA BOGOR,-6.6025841,106.8274651
"POINT (106.93333 -6.95)",3272.0,32.0,KOTA SUKABUMI,KOTA SUKABUMI,-6.95,106.93333
"POINT (107.62444 -6.9175)",3273.0,32.0,KOTA BANDUNG,KOTA BANDUNG,-6.9175,107.62444
"POINT (108.55 -6.75)",3274.0,32.0,KOTA CIREBON,KOTA CIREBON,-6.75,108.55
"POINT (106.9757745 -6.228047)",3275.0,32.0,KOTA BEKASI,KOTA BEKASI,-6.228047,106.9757745
"POINT (106.81667 -6.4)",3276.0,32.0,KOTA DEPOK,KOTA DEPOK,-6.4,106.81667
"POINT (107.5403891 -6.8766754)",3277.0,32.0,KOTA CIMAHI,KOTA CIMAHI,-6.8766754,107.5403891
"POINT (108.2146101 -7.3431898)",3278.0,32.0,KOTA TASIKMALAYA,KOTA TASIKMALAYA,-7.3431898,108.2146101
"POINT (108.53209 -7.36996)",3279.0,32.0,KOTA BANJAR,KOTA BANJAR,-7.36996,108.53209
