WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (109.024312 -7.6939591)",3301.0,33.0,KABUPATEN CILACAP,KABUPATEN CILACAP,-7.6939591,109.024312
"POINT (109.1687299 -7.4585106)",3302.0,33.0,KABUPATEN BANYUMAS,KABUPATEN BANYUMAS,-7.4585106,109.1687299
"POINT (109.355772 -7.3801966)",3303.0,33.0,KABUPATEN PURBALINGGA,KABUPATEN PURBALINGGA,-7.3801966,109.355772
"POINT (109.5428681 -7.4341859)",3304.0,33.0,KABUPATEN BANJARNEGARA,KABUPATEN BANJARNEGARA,-7.4341859,109.5428681
"POINT (109.6585 -7.6663921)",3305.0,33.0,KABUPATEN KEBUMEN,KABUPATEN KEBUMEN,-7.6663921,109.6585
"POINT (110.0051221 -7.7061242)",3306.0,33.0,KABUPATEN PURWOREJO,KABUPATEN PURWOREJO,-7.7061242,110.0051221
"POINT (109.8957709 -7.366838)",3307.0,33.0,KABUPATEN WONOSOBO,KABUPATEN WONOSOBO,-7.366838,109.8957709
"POINT (110.2154982 -7.4737991)",3308.0,33.0,KABUPATEN MAGELANG,KABUPATEN MAGELANG,-7.4737991,110.2154982
"POINT (110.5887633 -7.5108924)",3309.0,33.0,KABUPATEN BOYOLALI,KABUPATEN BOYOLALI,-7.5108924,110.5887633
"POINT (110.4985671 -7.6989811)",3310.0,33.0,KABUPATEN KLATEN,KABUPATEN KLATEN,-7.6989811,110.4985671
"POINT (110.8326433 -7.6772055)",3311.0,33.0,KABUPATEN SUKOHARJO,KABUPATEN SUKOHARJO,-7.6772055,110.8326433
"POINT (110.9368292 -7.7955912)",3312.0,33.0,KABUPATEN WONOGIRI,KABUPATEN WONOGIRI,-7.7955912,110.9368292
"POINT (110.9828492 -7.6042387)",3313.0,33.0,KABUPATEN KARANGANYAR,KABUPATEN KARANGANYAR,-7.6042387,110.9828492
"POINT (111.0215173 -7.4168655)",3314.0,33.0,KABUPATEN SRAGEN,KABUPATEN SRAGEN,-7.4168655,111.0215173
"POINT (110.9337937 -7.0150914)",3315.0,33.0,KABUPATEN GROBOGAN,KABUPATEN GROBOGAN,-7.0150914,110.9337937
"POINT (111.4217835 -6.9630796)",3316.0,33.0,KABUPATEN BLORA,KABUPATEN BLORA,-6.9630796,111.4217835
"POINT (111.3403275 -6.7109638)",3317.0,33.0,KABUPATEN REMBANG,KABUPATEN REMBANG,-6.7109638,111.3403275
"POINT (111.0378585 -6.7462133)",3318.0,33.0,KABUPATEN PATI,KABUPATEN PATI,-6.7462133,111.0378585
"POINT (110.8422082 -6.8067329)",3319.0,33.0,KABUPATEN KUDUS,KABUPATEN KUDUS,-6.8067329,110.8422082
"POINT (110.6787794 -6.5768498)",3320.0,33.0,KABUPATEN JEPARA,KABUPATEN JEPARA,-6.5768498,110.6787794
"POINT (110.6396658 -6.8887338)",3321.0,33.0,KABUPATEN DEMAK,KABUPATEN DEMAK,-6.8887338,110.6396658
"POINT (110.4338377 -7.0015687)",3322.0,33.0,KABUPATEN SEMARANG,KABUPATEN SEMARANG,-7.0015687,110.4338377
"POINT (110.1794977 -7.3106194)",3323.0,33.0,KABUPATEN TEMANGGUNG,KABUPATEN TEMANGGUNG,-7.3106194,110.1794977
"POINT (110.2031755 -6.9308621)",3324.0,33.0,KABUPATEN KENDAL,KABUPATEN KENDAL,-6.9308621,110.2031755
"POINT (109.7315815 -6.9043411)",3325.0,33.0,KABUPATEN BATANG,KABUPATEN BATANG,-6.9043411,109.7315815
"POINT (109.6737812 -6.899673)",3326.0,33.0,KABUPATEN PEKALONGAN,KABUPATEN PEKALONGAN,-6.899673,109.6737812
"POINT (109.3807732 -6.888489)",3327.0,33.0,KABUPATEN PEMALANG,KABUPATEN PEMALANG,-6.888489,109.3807732
"POINT (109.132338 -6.8806511)",3328.0,33.0,KABUPATEN TEGAL,KABUPATEN TEGAL,-6.8806511,109.132338
"POINT (109.0414515 -6.8591484)",3329.0,33.0,KABUPATEN BREBES,KABUPATEN BREBES,-6.8591484,109.0414515
"POINT (110.2332399 -7.4768528)",3371.0,33.0,KOTA MAGELANG,KOTA MAGELANG,-7.4768528,110.2332399
"POINT (110.8180435 -7.5683786)",3372.0,33.0,KOTA SURAKARTA,KOTA SURAKARTA,-7.5683786,110.8180435
"POINT (110.48333 -7.33278)",3373.0,33.0,KOTA SALATIGA,KOTA SALATIGA,-7.33278,110.48333
"POINT (110.397063 -6.9992538)",3374.0,33.0,KOTA SEMARANG,KOTA SEMARANG,-6.9992538,110.397063
"POINT (109.68333 -6.9)",3375.0,33.0,KOTA PEKALONGAN,KOTA PEKALONGAN,-6.9,109.68333
"POINT (109.1183932 -6.878144)",3376.0,33.0,KOTA TEGAL,KOTA TEGAL,-6.878144,109.1183932
